ชื่อยา,ชื่อสามัญ,ความแรง,หน่วยนับ,ราคาทุน,ราคาจำหน่าย,Dosage Form,บัญชี,รหัส TMT สกส.,Pregnancy Cagetory
0.02-TriAMcinolone CREAM,TRIAMCINOLONE,0.02 %,หลอด (5 g.),7.00,9.00,CREAMS,ก,828560,
0.1-TRIAMCINOLONE CREAM,TRIAMCINOLONE,0.1 %,หลอด (5 g.),8.00,11.00,CREAMS,ก,518779,
0.5-HALOPERIDOL,HALOPERIDOL,0.5 mg.,เม็ด,0.30,1.00,TABLETS,ก,413772,C
0.5-LoraZEPAM,LORAZEPAM,0.5 mg.,เม็ด,0.22,1.00,TABLETS,ก,362131,D
1-ACYCLOVIR(ยานอกบัญชีฯ),ACICLOVIR,1 g.,ซอง,13.91,18.00,CREAMS,,486669,B
10-AMITRYPTYLINE,AMITRYPTYLINE,10 mg.,เม็ด,0.19,1.00,TABLETS,ก,464513,D
10-CLOTRIMAZOLE TROCHE,CLOTRIMAZOLE,10 mg.,เม็ด,0.70,2.00,TABLETS,ก,689825,C
10-DIAZEPAM,DIAZEPAM,5 mg./ml.,Amphule (2 ml.),3.40,5.00,INJECTIONS,ก,560472,
10-ISOSORBIDE DINITRATE,ISOSORBIDE,10 mg.,เม็ด,0.54,1.00,TABLETS,ก,825656,C
10-LoRaTaDINE,LORATADINE,10 mg.,เม็ด,0.70,2.00,TABLETS,ก,363899,B
10-MAGNESIUM SULFATE,MAGNESIUM,10 %,Amphule (10 ml.),6.80,9.00,INJECTIONS,ก,761220,D
10-PROPRANOLOL,PROPRANOLOL,10 mg.,เม็ด,0.23,1.00,TABLETS,ก,262445,C
10-SIMVASTATIN (ยาโครงการ),SIMVASTATIN,10 mg.,เม็ด,0.50,1.00,TABLETS,ก,117504,
100-CLOTRIMAZOLE VAGINAL SUPPO.,CLOTRIMAZOLE,100 mg.,เม็ด (VG.),1.08,2.00,TABLETS,ก,287501,B
100-PHENYTOIN (DILANTIN),PHENYTOIN,100 mg.,แค็บซูล,0.45,1.00,CAPSULES,ก,315673,D
100-PHENYTOIN (SR),PHENYTOIN,100 mg.,เม็ด,3.30,5.00,CAPSULES,ก,313274,
1000-AUGMENTIN,AMOXICILLIN CLAVULANIC ACID,1 g.,เม็ด,3.94,6.00,TABLETS,ค,327322,B
15-ALUM MILK(IPD)(UNIT DOSE),ALUMINIUM+MAGNESIUM+SIMETHICONE,mg.,ขวด (15 ml.),1.20,2.00,SUSPENSIONS,ก,699214,
15-CARMINATIVE [IPD](UNIT DOSE),CARMINATIVE,.,ขวด (15 ml.),0.83,2.00,SOLUTIONS,ก,666847,
150-CLINDAMYCIN,CLINDAMYCIN,150 mg.,เม็ด,1.70,3.00,CAPSULES,ข,377877,B
156-AUGMENTIN,AMOXICILLIN CLAVULANIC ACID,156.25 mg/5ml,ขวด,65.00,79.00,SUSPENSIONS,ค,586335,
180-CARMINATIVE,CARMINATIVE,180 ml.,ขวด,10.00,13.00,SOLUTIONS,ก,666847,B
2-DIAZEPAM,DIAZEPAM,2 mg.,เม็ด,0.10,1.00,TABLETS,ก,767143,D
20% MANNITOL,MANNITOL,20 g./100,ขวด (250 ml.),160.50,196.00,SOLUTIONS,ก,567731,
20%HUMAN ALBUMIN (ยานอกบัญชีฯ),HUMANALBUMIN,12.5 g.,Vial (50 ml.),"1,381.00","1,580.00",SOLUTIONS,,819191,
20-BERODUAL NB(ยากลับบ้าน),IPRATROPIUM+FENOTEROL,.,ขวด (20 ml.),92.00,111.00,SOLUTIONS,ก,529813,
20-EnAlaPriL,ENALAPRIL,20 mg.,เม็ด,0.41,1.00,TABLETS,ก,112032,D
200-IBUPROFEN,IBUPROFEN,200 mg.,เม็ด,0.17,1.00,TABLETS,ก,124854,B
240-ALUM MILK,ALUMINIUM+MAGNESIUM+SIMETHICONE,240 ml.,ขวด,14.00,18.00,SUSPENSIONS,ก,699159,
240-CO-TRIMOXAZOLE,TRIMETHOPRIM SULFAMETHOXAZOLE,(40+200) mg.,ขวด (60 ml.),9.00,12.00,SUSPENSIONS,ก,637866,
25-AMITRYPTYLINE,AMITRYPTYLINE,25 mg.,เม็ด,0.37,1.00,TABLETS,ก,736965,D
25-CARVEDILOL,CARVEDILOL,25 mg.,เม็ด,3.20,5.00,TABLETS,ค,272337,
250-ขมิ้นชัน(CURMIN),ขมิ้นชัน,250 mg.,แค็บซูล,1.12,2.00,CAPSULES,-,9096628,
30-ALCOHOL(ขวดเล็ก),ETHYLALCOHOL,70 %,ขวด (30 ml.),3.87,5.00,SOLUTIONS,ก,800122,
30-PHENOBARBITAL,PHENOBARBITAL,30 mg.,เม็ด,0.10,1.00,TABLETS,ก,742490,D
30-TAMIFLU,OSELTAMIVIR,30 mg.,แค็บซูล,12.00,16.00,CAPSULES,จ1,452376,
300-GeMFIBROZIL,GEMFIBROZIL,300 mg.,แค็บซูล,0.67,2.00,CAPSULES,ก,116743,C
300-RIFAMPICIN,RIFAMPICIN,300 mg.,เม็ด,3.50,5.00,CAPSULES,ก,429093,C
325-ASPIRIN,ASPIRIN,325 mg.,เม็ด,0.71,2.00,TABLETS,ก,251961,D
325-PARACETAMOL,PARACETAMOL,325 mg.,เม็ด,0.14,1.00,TABLETS,ก,403190,
4-CHLORPHENIRAMINE (CPM),CHLORPHENIRAMINE,4 mg.,เม็ด,0.06,1.00,TABLETS,ก,689744,C
40-PROPRANOLOL,PROPRANOLOL,40 mg.,เม็ด,0.36,1.00,TABLETS,ก,689238,C
